ASV,Kingdom,Domain,Phylum,Class,Order,Family,Genus,Species,taxonomy,Supergroup,Division
ASV_24,Eukaryota,not_provided,Bacillariophyta,Mediophyceae,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_25,TSAR,Eukaryota,not_provided,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa_steinii,not_provided,Alveolata,Dinoflagellata
ASV_26,Eukaryota,not_provided,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote,not_provided,not_provided,not_provided
ASV_27,TSAR,Eukaryota,not_provided,Mediophyceae,Thalassiosirales,Thalassiosiraceae,not_provided,not_provided,not_provided,Stramenopiles,Gyrista
ASV_28,unassigned,not_provided,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_29,Obazoa,Eukaryota,not_provided,Arthropoda,Crustacea,Maxillopoda,Calanus,Calanus_helgolandicus,not_provided,Opisthokonta,Metazoa
ASV_30,TSAR,Eukaryota,not_provided,Spirotrichea,Oligotrichida,Strombidiidae,not_provided,not_provided,not_provided,Alveolata,Ciliophora
ASV_31,Eukaryota,not_provided,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_32,Obazoa,Eukaryota,not_provided,Arthropoda,Crustacea,Maxillopoda,Oithona,Oithona_similis,not_provided,Opisthokonta,Metazoa
ASV_33,Eukaryota,not_provided,unknown,Dinophyceae,Gymnodiniales,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_34,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_pouchetii,"Eukaryota,d:Hacrobia,p:Haptophyta,c:Prymnesiophyceae,o:Phaeocystales,f:Phaeocystaceae,g:Phaeocystis,s:Phaeocystis_pouchetii",not_provided,not_provided
ASV_35,Obazoa,Eukaryota,not_provided,Arthropoda,Crustacea,Maxillopoda,Pseudocalanus,Pseudocalanus_elongatus,not_provided,Opisthokonta,Metazoa
ASV_36,Obazoa,Eukaryota,not_provided,Arthropoda,Crustacea,Maxillopoda,Clausocalanus,Clausocalanus_furcatus,not_provided,Opisthokonta,Metazoa
ASV_37,Obazoa,Eukaryota,not_provided,Arthropoda,Crustacea,Maxillopoda,Calanus,Calanus_helgolandicus,not_provided,Opisthokonta,Metazoa
ASV_38,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_fusiforme,not_provided,Alveolata,Dinoflagellata
ASV_39,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,not_provided,not_provided,not_provided,not_provided,Alveolata,Dinoflagellata
ASV_40,Haptista,Eukaryota,not_provided,Prymnesiophyceae,Prymnesiales,Prymnesiaceae,Prymnesium,not_provided,not_provided,Haptophyta,Haptophyta_X
ASV_41,Eukaryota,not_provided,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote,not_provided,not_provided,not_provided
ASV_42,Archaeplastida,Eukaryota,not_provided,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_commoda_A2,not_provided,Chlorophyta,Chlorophyta_X
ASV_43,Eukaryota,not_provided,Haptista,Haptophyta,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_44,Obazoa,Eukaryota,not_provided,Arthropoda,Crustacea,Maxillopoda,Dioithona,Dioithona_oculata,not_provided,Opisthokonta,Metazoa
ASV_45,TSAR,Eukaryota,not_provided,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos_fusus,not_provided,Alveolata,Dinoflagellata
ASV_46,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_fusiforme,not_provided,Alveolata,Dinoflagellata
ASV_47,Eukaryota,not_provided,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,unassigned,not_provided,not_provided,not_provided
ASV_48,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,unassigned,not_provided,not_provided,not_provided
ASV_49,TSAR,Eukaryota,not_provided,Filosa-Thecofilosea,Ebriacea,Ebriidae,Ebria,Ebria_tripartita,not_provided,Rhizaria,Cercozoa
ASV_50,Eukaryota,not_provided,Ciliophora,Spirotrichea,unknown,Strombidiidae,Strombidium,Strombidium caudispina,not_provided,not_provided,not_provided
ASV_51,TSAR,Eukaryota,not_provided,Bacillariophyceae,Fragilariales,Staurosiraceae,Plagiostriata,Plagiostriata_goreensis,not_provided,Stramenopiles,Gyrista
ASV_52,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum_micans,"Eukaryota,d:Alveolata,p:Dinoflagellata,c:Dinophyceae,o:Prorocentrales,f:Prorocentraceae,g:Prorocentrum,s:Prorocentrum_micans",not_provided,not_provided
ASV_53,Archaeplastida,Eukaryota,not_provided,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus_prasinos,not_provided,Chlorophyta,Chlorophyta_X
ASV_54,TSAR,Eukaryota,not_provided,Dinophyceae,Gonyaulacales,Pyrocystaceae,Alexandrium,Alexandrium_minutum,not_provided,Alveolata,Dinoflagellata
ASV_55,Eukaryota,not_provided,unknown,Dinophyceae,unknown,unknown,Spiniferites,Spiniferites ramosus,not_provided,not_provided,not_provided
ASV_56,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_57,Eukaryota,not_provided,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium rubrum,not_provided,not_provided,not_provided
ASV_58,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Anomalocera,Anomalocera_patersoni,"Eukaryota,d:Opisthokonta,p:Metazoa,c:Arthropoda,o:Crustacea,f:Maxillopoda,g:Anomalocera,s:Anomalocera_patersoni",not_provided,not_provided
ASV_59,TSAR,Eukaryota,not_provided,Dinophyceae,Peridiniales,not_provided,not_provided,not_provided,not_provided,Alveolata,Dinoflagellata
ASV_60,Cryptista,Eukaryota,not_provided,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Plagioselmis,Plagioselmis_prolonga,not_provided,Cryptophyta,Cryptophyta_X
ASV_61,TSAR,Eukaryota,not_provided,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos_furca,not_provided,Alveolata,Dinoflagellata
ASV_62,TSAR,Eukaryota,not_provided,Dinophyceae,not_provided,not_provided,not_provided,not_provided,not_provided,Alveolata,Dinoflagellata
ASV_63,TSAR,Eukaryota,not_provided,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira_hispida,not_provided,Stramenopiles,Gyrista
ASV_64,TSAR,Eukaryota,not_provided,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa_nei/rotundata,not_provided,Alveolata,Dinoflagellata
ASV_65,Eukaryota,not_provided,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,unassigned,not_provided,not_provided,not_provided
ASV_66,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_67,TSAR,Eukaryota,not_provided,Dinophyceae,Suessiales,Suessiaceae,Biecheleria,Biecheleria_cincta,not_provided,Alveolata,Dinoflagellata
ASV_68,TSAR,Eukaryota,not_provided,Mediophyceae,Cymatosirales,Cymatosiraceae,Arcocellulus,Arcocellulus_cornucervis,not_provided,Stramenopiles,Gyrista
ASV_69,Eukaryota,not_provided,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_70,Eukaryota,not_provided,Arthropoda,Hexanauplia,Calanoida,Calanidae,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_71,Archaeplastida,Eukaryota,not_provided,Palmophyllophyceae,Prasinococcales,Prasinococcaceae,Prasinococcus,Prasinococcus_capsulatus,not_provided,Prasinodermophyta,Prasinodermophyta_X
ASV_72,TSAR,Eukaryota,not_provided,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,not_provided,not_provided,Stramenopiles,Gyrista
ASV_73,TSAR,Eukaryota,not_provided,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,Gonyaulax_sp.,not_provided,Alveolata,Dinoflagellata
ASV_74,TSAR,Eukaryota,not_provided,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia_seriata,not_provided,Stramenopiles,Gyrista
ASV_75,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_helveticum,not_provided,Alveolata,Dinoflagellata
ASV_76,Eukaryota,not_provided,Haptista,Haptophyta,Prymnesiales,Prymnesiaceae,Prymnesium,unassigned,not_provided,not_provided,not_provided
ASV_77,TSAR,Eukaryota,not_provided,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa_pygmaea,not_provided,Alveolata,Dinoflagellata
ASV_78,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium_sp.,not_provided,Alveolata,Dinoflagellata
ASV_79,TSAR,Eukaryota,not_provided,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,Minidiscus_variabilis,not_provided,Stramenopiles,Gyrista
ASV_80,Eukaryota,not_provided,unknown,Dinophyceae,Peridiniales,Heterocapsaceae,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_81,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,unassigned,not_provided,not_provided,not_provided
ASV_82,Cryptista,Eukaryota,not_provided,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Teleaulax,Teleaulax_gracilis,not_provided,Cryptophyta,Cryptophyta_X
ASV_83,TSAR,Eukaryota,not_provided,Spirotrichea,Oligotrichida,Oligotrichida_X,Oligotrichida_XX,Oligotrichida_XX_sp.,not_provided,Alveolata,Ciliophora
ASV_84,Eukaryota,not_provided,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Sinocalanus,unassigned,not_provided,not_provided,not_provided
ASV_85,Eukaryota,not_provided,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_86,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Chytriodiniaceae,Dissodinium,Dissodinium_pseudolunula,not_provided,Alveolata,Dinoflagellata
ASV_87,TSAR,Eukaryota,not_provided,Pelagophyceae,Pelagomonadales,Pelagomonadales_clade_A,Pelagomonadales_clade_A1,Pelagomonadales_clade_A1_sp.,not_provided,Stramenopiles,Gyrista
ASV_88,Archaeplastida,Eukaryota,not_provided,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_bravo_B2,not_provided,Chlorophyta,Chlorophyta_X
ASV_89,Eukaryota,not_provided,Cercozoa,Thecofilosea,unknown,Ebriacea,Ebria,Ebria tripartita,not_provided,not_provided,not_provided
ASV_90,Eukaryota,not_provided,Arthropoda,Hexanauplia,Calanoida,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_91,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_heterogrammum,not_provided,Alveolata,Dinoflagellata
ASV_92,Cryptista,Eukaryota,not_provided,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Geminigera,Geminigera_cryophila,not_provided,Cryptophyta,Cryptophyta_X
ASV_93,Eukaryota,not_provided,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus parvus,not_provided,not_provided,not_provided
ASV_94,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium_sp.,not_provided,Alveolata,Dinoflagellata
ASV_95,Eukaryota,not_provided,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,not_provided,not_provided,not_provided
ASV_96,not_provided,Eukaryota,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided
ASV_97,TSAR,Eukaryota,not_provided,Gyrista_X,Gyrista_XX,MAST-1,MAST-1A,MAST-1A_sp.,not_provided,Stramenopiles,Gyrista
ASV_98,Archaeplastida,Eukaryota,not_provided,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas_parkeae,not_provided,Chlorophyta,Chlorophyta_X
ASV_99,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_helveticum,not_provided,Alveolata,Dinoflagellata
ASV_100,Eukaryota,not_provided,Chlorophyta,unknown,Pyramimonadales,unknown,Pyramimonas,Pyramimonas parkeae,not_provided,not_provided,not_provided
ASV_101,Haptista,Eukaryota,not_provided,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina_sp.,not_provided,Haptophyta,Haptophyta_X
ASV_102,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_helveticum,not_provided,Alveolata,Dinoflagellata
ASV_103,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_helveticum,not_provided,Alveolata,Dinoflagellata
ASV_104,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium_fulvescens,not_provided,Alveolata,Dinoflagellata
ASV_105,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_106,TSAR,Eukaryota,not_provided,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,Minidiscus_spinulatus,not_provided,Stramenopiles,Gyrista
ASV_107,Eukaryota,not_provided,unknown,Dinophyceae,unknown,unknown,unknown,Dinophyceae sp. UDMS0803,not_provided,not_provided,not_provided
ASV_108,Eukaryota,not_provided,unknown,Cryptophyceae,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_109,Eukaryota,not_provided,unknown,Dinophyceae,Peridiniales,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_110,TSAR,Eukaryota,not_provided,Chrysophyceae,Ochromonadales,Ochromonadales_X,Ochromonadales_XX,Ochromonadales_XX_sp.,not_provided,Stramenopiles,Gyrista
ASV_111,Haptista,Eukaryota,not_provided,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_pouchetii,not_provided,Haptophyta,Haptophyta_X
ASV_112,Eukaryota,not_provided,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unassigned,not_provided,not_provided,not_provided
ASV_113,Eukaryota,not_provided,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_114,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,unassigned,not_provided,not_provided,not_provided
ASV_115,Archaeplastida,Eukaryota,not_provided,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_pusilla,not_provided,Chlorophyta,Chlorophyta_X
ASV_116,Eukaryota,not_provided,unknown,Cryptophyceae,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_117,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned,not_provided,not_provided,not_provided
ASV_118,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,unassigned,not_provided,not_provided,not_provided
ASV_119,Eukaryota,not_provided,unknown,unknown,unknown,unknown,unknown,phototrophic eukaryote,not_provided,not_provided,not_provided
ASV_120,Eukaryota,not_provided,Chlorophyta,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_121,Eukaryota,not_provided,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_122,TSAR,Eukaryota,not_provided,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp.,not_provided,Alveolata,Dinoflagellata
ASV_123,TSAR,Eukaryota,not_provided,Gyrista_X,Gyrista_XX,MAST-2,MAST-2D,MAST-2D_sp.,not_provided,Stramenopiles,Gyrista
ASV_124,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium_fulvescens,not_provided,Alveolata,Dinoflagellata
ASV_125,Eukaryota,not_provided,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,unassigned,not_provided,not_provided,not_provided
ASV_126,TSAR,Eukaryota,not_provided,Dinophyceae,not_provided,not_provided,not_provided,not_provided,not_provided,Alveolata,Dinoflagellata
ASV_127,Eukaryota,not_provided,Cercozoa,Thecofilosea,unknown,Ebriacea,Ebria,Ebria tripartita,not_provided,not_provided,not_provided
ASV_128,TSAR,Eukaryota,not_provided,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,Melosira_arctica,not_provided,Stramenopiles,Gyrista
ASV_129,TSAR,Eukaryota,not_provided,Spirotrichea,Oligotrichida,Oligotrichida_X,Oligotrichida_XX,Oligotrichida_XX_sp.,not_provided,Alveolata,Ciliophora
ASV_130,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_helveticum,not_provided,Alveolata,Dinoflagellata
ASV_131,Eukaryota,not_provided,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus elongatus,not_provided,not_provided,not_provided
ASV_132,Eukaryota,not_provided,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,unassigned,not_provided,not_provided,not_provided
ASV_133,TSAR,Eukaryota,not_provided,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa_nei/rotundata,not_provided,Alveolata,Dinoflagellata
ASV_134,TSAR,Eukaryota,not_provided,Spirotrichea,Oligotrichida,Oligotrichida_X,Oligotrichida_XX,Oligotrichida_XX_sp.,not_provided,Alveolata,Ciliophora
ASV_135,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,not_provided,not_provided,not_provided,Alveolata,Dinoflagellata
ASV_136,Eukaryota,not_provided,unknown,Dinophyceae,unknown,unknown,unknown,Dinophyceae sp. CCMP1878,not_provided,not_provided,not_provided
ASV_137,TSAR,Eukaryota,not_provided,Dinophyceae,not_provided,not_provided,not_provided,not_provided,not_provided,Alveolata,Dinoflagellata
ASV_138,Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Capitella,Capitella_teleta,"Eukaryota,d:Opisthokonta,p:Metazoa,c:Annelida,o:Annelida_X,f:Annelida_XX,g:Capitella,s:Capitella_teleta",not_provided,not_provided
ASV_139,Archaeplastida,Eukaryota,not_provided,Pyramimonadophyceae,Pyramimonadales,Pyramimonadales_X,Pyramimonadales_XX,Pyramimonadales_XX_sp.,not_provided,Chlorophyta,Chlorophyta_X
ASV_140,Eukaryota,not_provided,unknown,Dinophyceae,Pyrocystales,Pyrocystaceae,Dissodinium,Dissodinium pseudolunula,not_provided,not_provided,not_provided
ASV_141,TSAR,Eukaryota,not_provided,Spirotrichea,Choreotrichida,Choreotrichida_X,Choreotrichida_XX,Choreotrichida_XX_sp.,not_provided,Alveolata,Ciliophora
ASV_142,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Prymnesiaceae,Prymnesium,Prymnesium_nemamethecum,"Eukaryota,d:Hacrobia,p:Haptophyta,c:Prymnesiophyceae,o:Prymnesiales,f:Prymnesiaceae,g:Prymnesium,s:Prymnesium_nemamethecum",not_provided,not_provided
ASV_143,Obazoa,Eukaryota,not_provided,Mollusca,Bivalvia,Mytiloida,Mytilus,Mytilus_edulis,not_provided,Opisthokonta,Metazoa
ASV_144,TSAR,Eukaryota,not_provided,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira_concaviuscula,not_provided,Stramenopiles,Gyrista
ASV_145,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania_huxleyi,"Eukaryota,d:Hacrobia,p:Haptophyta,c:Prymnesiophyceae,o:Isochrysidales,f:Noelaerhabdaceae,g:Emiliania,s:Emiliania_huxleyi",not_provided,not_provided
ASV_146,Eukaryota,not_provided,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_147,Archaeplastida,Eukaryota,not_provided,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_bravo_B1,not_provided,Chlorophyta,Chlorophyta_X
ASV_148,Archaeplastida,Eukaryota,not_provided,Palmophyllophyceae,Prasinococcales,Prasinococcaceae,Prasinococcus,Prasinococcus_capsulatus,not_provided,Prasinodermophyta,Prasinodermophyta_X
ASV_149,Eukaryota,not_provided,Haptista,Haptophyta,Isochrysidales,Noelaerhabdaceae,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_150,TSAR,Eukaryota,not_provided,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa_pygmaea,not_provided,Alveolata,Dinoflagellata
ASV_151,Eukaryota,not_provided,unknown,Dinophyceae,Peridiniales,Heterocapsaceae,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_152,Eukaryota,not_provided,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_153,Obazoa,Eukaryota,not_provided,Ctenophora,Ctenophora_X,Ctenophora_XX,Beroe,Beroe_cucumis,not_provided,Opisthokonta,Metazoa
ASV_154,Haptista,Eukaryota,not_provided,Prymnesiophyceae,Prymnesiophyceae_Clade_D,Prymnesiophyceae_Clade_D_X,Prymnesiophyceae_Clade_D_XX,Prymnesiophyceae_Clade_D_XX_sp.,not_provided,Haptophyta,Haptophyta_X
ASV_155,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Minidiscus,Minidiscus_sp.,"Eukaryota,d:Stramenopiles,p:Ochrophyta,c:Bacillariophyta,o:Bacillariophyta_X,f:Polar-centric-Mediophyceae,g:Minidiscus,s:Minidiscus_sp.",not_provided,not_provided
ASV_156,Eukaryota,not_provided,Ctenophora,Tentaculata,Cydippida,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_157,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,unassigned,unassigned,not_provided,not_provided,not_provided
