,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_4375,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_4377,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus
ASV_4381,Eukaryota,Imbricatea,unknown,Euglyphida,Paulinellidae,g_,s_
ASV_4388,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_4389,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,g_,s_
ASV_4390,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,g_,s_
ASV_4395,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_4402,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_4404,Eukaryota,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,Acanthephyra curtirostris
ASV_4407,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4420,Eukaryota,unknown,Phaeophyceae,Ectocarpales,unassigned,g_,s_
ASV_4422,Eukaryota,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,Blastocladiaceae,g_,s_
ASV_4426,Eukaryota,unknown,Synurophyceae,Synurales,Mallomonadaceae,g_,s_
ASV_4427,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_4431,Eukaryota,Arthropoda,unassigned,unassigned,unassigned,g_,s_
ASV_4443,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4447,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_4448,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_4450,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis globosa
ASV_4461,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_4469,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4486,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,unassigned,g_,s_
ASV_4496,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4509,Eukaryota,Arthropoda,unassigned,unassigned,unassigned,g_,s_
ASV_4510,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,g_,s_
ASV_4518,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4520,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_4524,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4527,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,g_,s_
ASV_4530,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,g_,s_
ASV_4541,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4546,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_4547,Eukaryota,unknown,unknown,unknown,Apusomonadidae,g_,s_
ASV_4548,Bacteria,unknown,unknown,unknown,unknown,g_,s_
ASV_4551,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,g_,s_
ASV_4554,Eukaryota,Arthropoda,Arachnida,Araneae,Mecysmaucheniidae,g_,s_
ASV_4555,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_4559,Eukaryota,unknown,Oomycota,Saprolegniales,Saprolegniaceae,g_,s_
ASV_4563,Eukaryota,Arthropoda,unassigned,unassigned,unassigned,g_,s_
ASV_4576,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_4578,Eukaryota,Arthropoda,Malacostraca,Decapoda,Polychelidae,Pentacheles,s_
ASV_4579,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_4581,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros socialis
ASV_4589,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,g_,s_
ASV_4595,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_4596,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4597,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4613,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4614,Eukaryota,unknown,Oomycetes,Peronosporales,Peronosporaceae,g_,s_
ASV_4624,Eukaryota,unknown,Raphidophyceae,Chattonellales,Chattonellaceae,g_,s_
ASV_4630,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
ASV_4638,Eukaryota,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,Acanthephyra curtirostris
ASV_4655,Eukaryota,unknown,Oomycota,Saprolegniales,Saprolegniaceae,g_,s_
ASV_4660,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,g_,s_
ASV_4661,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4667,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_4670,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4671,Eukaryota,unknown,Phaeophyceae,Ectocarpales,Chordariaceae,g_,s_
ASV_4676,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,g_,s_
ASV_4677,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4680,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Candelabridae,g_,s_
ASV_4691,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_4692,Eukaryota,Imbricatea,unknown,Euglyphida,Paulinellidae,g_,s_
ASV_4695,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_4696,Eukaryota,unknown,Oomycota,Pythiales,Pythiaceae,g_,s_
ASV_4699,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4703,Eukaryota,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,s_
ASV_4706,Eukaryota,Picozoa,unknown,unknown,unknown,g_,s_
ASV_4709,Eukaryota,Arthropoda,unassigned,unassigned,unassigned,g_,s_
ASV_4719,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4730,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4732,Eukaryota,Haptista,Haptophyta,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi
ASV_4736,Eukaryota,unknown,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_4741,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4744,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,g_,s_
ASV_4748,Eukaryota,unknown,Oomycota,unknown,unknown,g_,s_
ASV_4753,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_4762,Eukaryota,Arthropoda,Insecta,unassigned,unassigned,g_,s_
ASV_4764,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4766,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4781,Eukaryota,Rotifera,Monogononta,Ploima,Synchaetidae,g_,s_
ASV_4790,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_4798,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,g_,s_
ASV_4831,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4834,Eukaryota,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,s_
ASV_4836,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_4839,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4840,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4849,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_4853,Eukaryota,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,g_,s_
ASV_4855,Eukaryota,unknown,Phaeophyceae,unassigned,unassigned,g_,s_
ASV_4856,Eukaryota,Cnidaria,Hydrozoa,Narcomedusae,Tetraplatiidae,g_,s_
ASV_4859,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4861,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_4863,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,g_,s_
ASV_4865,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,g_,s_
ASV_4878,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_4880,Eukaryota,Arthropoda,Arachnida,unassigned,unassigned,g_,s_
ASV_4881,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_4892,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4899,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4902,Eukaryota,Annelida,Polychaeta,Spionida,Chaetopteridae,g_,s_
ASV_4911,Eukaryota,Arthropoda,Insecta,Hemiptera,unknown,g_,s_
ASV_4913,Eukaryota,Haptista,Haptophyta,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi
ASV_4915,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_4916,Eukaryota,Chlorophyta,Trebouxiophyceae,unknown,unknown,g_,s_
ASV_4922,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_
ASV_4923,Eukaryota,Cnidaria,Hydrozoa,Narcomedusae,Tetraplatiidae,g_,s_
ASV_4930,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_4933,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_
ASV_4941,Eukaryota,unknown,Phaeophyceae,Fucales,Sargassaceae,g_,s_
ASV_4942,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_4943,Eukaryota,unknown,Phaeophyceae,Ectocarpales,Chordariaceae,g_,s_
ASV_4957,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_4965,Eukaryota,Picozoa,unknown,unknown,unknown,g_,s_
ASV_4967,Eukaryota,unknown,Phaeophyceae,Fucales,Sargassaceae,g_,s_
ASV_4972,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,g_,s_
ASV_4973,Eukaryota,Arthropoda,Malacostraca,Decapoda,Polychelidae,Pentacheles,Pentacheles laevis
ASV_4979,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_4985,Eukaryota,unknown,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_4986,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_4987,unassigned,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_4990,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_5018,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter sp. Hel1_33_78
ASV_5020,Eukaryota,unknown,Oomycota,Peronosporales,Peronosporaceae,g_,s_
ASV_5021,Eukaryota,Cnidaria,Scyphozoa,Rhizostomeae,Catostylidae,g_,s_
ASV_5023,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus elongatus
ASV_5034,Eukaryota,Arthropoda,Insecta,Diptera,Agromyzidae,g_,s_
ASV_5037,Eukaryota,unknown,Phaeophyceae,unassigned,unassigned,g_,s_
ASV_5055,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,g_,s_
ASV_5057,Eukaryota,Arthropoda,Insecta,unassigned,unassigned,g_,s_
ASV_5059,Eukaryota,Arthropoda,Malacostraca,Decapoda,unassigned,unassigned,s_
ASV_5060,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,g_,s_
ASV_5064,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5067,Eukaryota,Arthropoda,Insecta,Diptera,unassigned,g_,s_
ASV_5070,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_5075,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_5081,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Scolecitrichidae,g_,s_
ASV_5092,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,g_,s_
ASV_5094,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5103,Eukaryota,Arthropoda,Malacostraca,Decapoda,Polychelidae,Pentacheles,Pentacheles laevis
ASV_5105,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5106,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5107,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5110,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_5113,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_5116,Eukaryota,unknown,Dictyochophyceae,Dictyochales,unknown,g_,s_
ASV_5119,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_5124,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5140,Eukaryota,unknown,Dictyochophyceae,Florenciellales,unknown,g_,s_
ASV_5141,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5145,Eukaryota,Arthropoda,Malacostraca,Decapoda,Oplophoridae,g_,s_
ASV_5147,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_5158,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_5162,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5163,Eukaryota,unknown,Raphidophyceae,Chattonellales,Chattonellaceae,g_,s_
ASV_5186,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,g_,s_
ASV_5196,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5202,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis
ASV_5206,Eukaryota,Haptista,Haptophyta,unassigned,unassigned,g_,s_
ASV_5220,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_5221,Eukaryota,unknown,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_5225,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_5233,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_5252,Eukaryota,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,s_
ASV_5259,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,g_,s_
ASV_5268,Eukaryota,Haptista,Haptophyta,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi
ASV_5286,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_5287,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium chrysogenum
ASV_5297,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5306,Eukaryota,Haptista,Haptophyta,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi
ASV_5312,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5314,Bacteria,unknown,unknown,unknown,unknown,g_,s_
ASV_5319,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5320,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5326,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,g_,s_
ASV_5330,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_5334,Eukaryota,Haptista,Haptophyta,unassigned,unassigned,g_,s_
ASV_5337,Eukaryota,Arthropoda,Malacostraca,Decapoda,Polychelidae,g_,s_
ASV_5343,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_5345,Eukaryota,unknown,Cryptophyceae,Pyrenomonadales,Geminigeraceae,g_,s_
ASV_5362,Eukaryota,unknown,Oomycota,Peronosporales,Peronosporaceae,g_,s_
ASV_5363,Eukaryota,unknown,Oomycetes,unassigned,unassigned,g_,s_
ASV_5369,Eukaryota,Picozoa,unknown,unknown,unknown,g_,s_
ASV_5372,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5374,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_5375,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_5384,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori
ASV_5387,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,g_,s_
ASV_5389,Eukaryota,Picozoa,unknown,unknown,unknown,g_,s_
ASV_5404,Eukaryota,Picozoa,unknown,unknown,unknown,g_,s_
ASV_5417,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_5418,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_5426,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5437,Eukaryota,Haptista,Haptophyta,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi
ASV_5446,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus parapergens
ASV_5455,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Forskaliidae,g_,s_
ASV_5464,Eukaryota,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,Acanthephyra curtirostris
ASV_5469,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5470,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_5476,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5477,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5479,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_5485,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,g_,s_
ASV_5499,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_5508,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5509,Eukaryota,unknown,Oomycota,Peronosporales,Peronosporaceae,g_,s_
ASV_5510,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_5518,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_5523,Eukaryota,Ctenophora,Tentaculata,Lobata,Bolinopsidae,g_,s_
ASV_5538,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5548,Eukaryota,unknown,Eustigmatophyceae,Eustigmatales,Monodopsidaceae,Nannochloropsis,Nannochloropsis granulata
ASV_5551,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_5552,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Pandeidae,g_,s_
ASV_5566,Eukaryota,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Stenogramma,unassigned
ASV_5570,Eukaryota,Porifera,Demospongiae,Poecilosclerida,Microcionidae,g_,s_
ASV_5590,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus newmani
ASV_5597,Eukaryota,unknown,Oomycota,unassigned,unassigned,g_,s_
ASV_5603,Eukaryota,unknown,Chrysophyceae,Chromulinales,Paraphysomonadaceae,g_,s_
ASV_5612,Eukaryota,Haptista,Haptophyta,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi
ASV_5615,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5622,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5628,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_5639,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_5644,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_5647,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5650,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,g_,s_
ASV_5655,Eukaryota,Arthropoda,Malacostraca,Decapoda,Oplophoridae,g_,s_
ASV_5657,Eukaryota,Haptista,Haptophyta,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi
ASV_5663,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_5668,Eukaryota,unknown,Oomycota,Pythiales,Pythiaceae,g_,s_
ASV_5669,Eukaryota,Arthropoda,Insecta,Diptera,Ceratopogonidae,g_,s_
ASV_5675,Eukaryota,Cnidaria,Anthozoa,Scleractinia,unassigned,g_,s_
ASV_5684,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5699,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5700,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_5701,Eukaryota,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,unassigned
ASV_5708,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5710,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_5713,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5717,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5719,Eukaryota,Arthropoda,Malacostraca,Decapoda,Oplophoridae,g_,s_
ASV_5735,Eukaryota,Arthropoda,unassigned,unassigned,unassigned,g_,s_
ASV_5739,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,g_,s_
ASV_5742,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_
ASV_5746,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_5749,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_5756,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5765,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_5774,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5777,Eukaryota,Rhodophyta,Florideophyceae,Hapalidiales,Hapalidiaceae,g_,s_
ASV_5780,Eukaryota,Arthropoda,unknown,unknown,unknown,g_,s_
ASV_5781,Eukaryota,Picozoa,unknown,unknown,unknown,g_,s_
ASV_5789,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5798,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5800,Eukaryota,unknown,Phaeophyceae,unassigned,unassigned,g_,s_
ASV_5805,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Oncaeidae,g_,s_
ASV_5806,Eukaryota,Arthropoda,Malacostraca,Decapoda,unassigned,g_,s_
ASV_5810,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_5813,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,g_,s_
ASV_5826,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,g_,s_
ASV_5834,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_5835,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_5854,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus parapergens
ASV_5868,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_5875,Eukaryota,unknown,Chrysophyceae,Chromulinales,Chromulinaceae,g_,s_
ASV_5889,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_5893,Eukaryota,Discosea,unassigned,unassigned,unassigned,g_,s_
ASV_5895,Eukaryota,Haptista,Haptophyta,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi
ASV_5900,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,g_,s_
ASV_5902,Eukaryota,Arthropoda,Malacostraca,Decapoda,Oplophoridae,g_,s_
ASV_5904,Eukaryota,Arthropoda,unassigned,unassigned,unassigned,g_,s_
ASV_5906,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,unassigned
ASV_5910,Eukaryota,Cnidaria,Hydrozoa,Narcomedusae,Aeginidae,g_,s_
ASV_5911,Bacteria,unknown,unknown,unknown,unknown,g_,s_
ASV_5921,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_5925,Eukaryota,Arthropoda,Arachnida,Araneae,Amaurobiidae,g_,s_
ASV_5928,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,g_,s_
ASV_5934,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_5936,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,g_,s_
ASV_5944,Eukaryota,unknown,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_5949,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,g_,s_
ASV_5955,Eukaryota,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Lebbeus,unassigned
ASV_5957,Eukaryota,Rotifera,Monogononta,Ploima,Synchaetidae,g_,s_
ASV_5963,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_5978,Eukaryota,Haptista,Haptophyta,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi
ASV_5980,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
