,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_92,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,Leptocylindrus convexus
ASV_93,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,unassigned,unassigned
ASV_94,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,Strombidium,Strombidium caudispina
ASV_95,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,Proterythropsis,Proterythropsis sp. BSL-2009a
ASV_96,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_97,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia flaccida
ASV_100,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_101,Eukaryota,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned
ASV_102,Eukaryota,unknown,Dinophyceae,Coccidiniales,Chytriodiniaceae,g_,s_
ASV_104,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,Warnowia,unassigned
ASV_105,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_106,Eukaryota,unknown,Dinophyceae,Syndiniales,Duboscquellidae,Duboscquella,unassigned
ASV_107,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,Actinocyclus curvatulus
ASV_108,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_109,Eukaryota,unknown,Phaeophyceae,Laminariales,unassigned,unassigned,unassigned
ASV_111,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_114,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,s_
ASV_116,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_117,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,unassigned
ASV_119,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,unassigned,unassigned
ASV_120,Eukaryota,Chordata,Appendicularia,unknown,unknown,g_,s_
ASV_121,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,unassigned
ASV_122,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Lepidodinium,Lepidodinium viride
ASV_123,Eukaryota,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,unassigned,unassigned
ASV_124,Eukaryota,unknown,Polycystinea,Collodaria,Sphaerozoidae,g_,s_
ASV_125,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros debilis
ASV_126,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Polykrikos,Polykrikos kofoidii
ASV_128,Eukaryota,Arthropoda,Malacostraca,Decapoda,unassigned,unassigned,unassigned
ASV_129,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Brockmanniella,Brockmanniella brockmannii
ASV_130,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia flaccida
ASV_131,Eukaryota,Haptista,Haptophyta,Prymnesiales,unassigned,unassigned,unassigned
ASV_132,Eukaryota,unknown,Dinophyceae,Coccidiniales,Chytriodiniaceae,Chytriodinium,s_
ASV_134,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,unassigned
ASV_135,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_137,Eukaryota,unknown,Dinophyceae,Coccidiniales,Chytriodiniaceae,g_,s_
ASV_138,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_139,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_141,Eukaryota,unknown,unknown,unknown,unknown,unknown,s_
ASV_142,Eukaryota,Arthropoda,Malacostraca,Decapoda,Polychelidae,Pentacheles,Pentacheles laevis
ASV_143,Eukaryota,Chordata,Thaliacea,Doliolida,Doliolidae,Doliolum,Doliolum nationalis
ASV_144,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned
ASV_145,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,unassigned
ASV_146,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_147,Eukaryota,unknown,Dinophyceae,Peridiniales,Heterocapsaceae,unassigned,unassigned
ASV_148,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,s_
ASV_149,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,unassigned
ASV_150,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,unassigned,unassigned,unassigned
ASV_151,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,g_,s_
ASV_152,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,unassigned,unassigned
ASV_153,Eukaryota,Haptista,Haptophyta,Isochrysidales,Noelaerhabdaceae,unassigned,unassigned
ASV_154,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,unassigned
ASV_155,Eukaryota,unknown,Dinophyceae,Syndiniales,Duboscquellidae,Duboscquella,unassigned
ASV_157,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_158,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned
ASV_159,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_161,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,unassigned,unassigned
ASV_162,Eukaryota,Mollusca,Bivalvia,Mytiloida,Mytilidae,Idas,Idas argenteus
ASV_163,Eukaryota,Ciliophora,Spirotrichea,Choreotrichida,Strobilidiidae,unassigned,unassigned
ASV_164,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona sp. Roadstead of Brest
ASV_165,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_166,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_167,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,unassigned
ASV_168,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,s_
ASV_169,Eukaryota,Ciliophora,Spirotrichea,unassigned,unassigned,unassigned,unassigned
ASV_171,Eukaryota,Euglenozoa,unknown,Diplonemea,unknown,g_,s_
ASV_172,Eukaryota,unknown,Raphidophyceae,Chattonellales,Chattonellaceae,Heterosigma,Heterosigma akashiwo
ASV_173,Eukaryota,unknown,unknown,unknown,unknown,unknown,Acantharian sp. 6201
ASV_175,Eukaryota,unknown,Acantharea,Chaunacanthida,unknown,unknown,Chaunacanthid sp. 6200
ASV_177,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_178,Eukaryota,Ciliophora,Spirotrichea,unknown,Tontoniidae,Pseudotontonia,Pseudotontonia sp. JG-2011a
ASV_179,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_180,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_181,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_182,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_183,Eukaryota,unknown,Dinophyceae,Peridiniales,Peridiniaceae,g_,s_
ASV_184,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,unassigned
ASV_185,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros radicans
ASV_186,Eukaryota,Echinodermata,Echinoidea,unassigned,unassigned,unassigned,unassigned
ASV_188,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia heimii
ASV_189,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,unassigned
ASV_190,Eukaryota,Ctenophora,Tentaculata,Lobata,unassigned,unassigned,unassigned
ASV_191,Eukaryota,Euglenozoa,unknown,Diplonemea,unknown,unknown,s_
ASV_192,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_193,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. UNC1415
ASV_194,Eukaryota,unknown,Dinophyceae,Syndiniales,Duboscquellidae,Duboscquella,unassigned
ASV_196,Eukaryota,Chordata,Thaliacea,Pyrosomata,Pyrosomatidae,Pyrosoma,Pyrosoma atlanticum
ASV_198,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_199,Eukaryota,Euglenozoa,unknown,Diplonemea,unknown,unknown,Diplonemida sp. 37 RG-2016
ASV_200,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_201,Eukaryota,unknown,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Geminigera,Geminigera cryophila
ASV_202,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_203,Eukaryota,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,Aplanochytrium,Aplanochytrium kerguelense
ASV_204,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis glacialis
ASV_205,Eukaryota,unknown,Dinophyceae,Peridiniales,Heterocapsaceae,unassigned,unassigned
ASV_206,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia heimii
ASV_207,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Paragymnodinium,Paragymnodinium shiwhaense
ASV_208,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_209,Eukaryota,Cercozoa,Thecofilosea,unknown,Ebriacea,Ebria,Ebria tripartita
ASV_211,Eukaryota,unknown,Dinophyceae,Gymnodiniales,unassigned,unassigned,unassigned
ASV_212,Eukaryota,unknown,Dinophyceae,Pyrocystales,Pyrocystaceae,Dissodinium,Dissodinium pseudolunula
ASV_213,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_214,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_215,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_217,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_218,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_219,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,unassigned
ASV_220,Eukaryota,unknown,unknown,unknown,unknown,unknown,s_
ASV_221,Eukaryota,unknown,Polycystinea,Nassellaria,Plagiacanthidae,Lithomelissa,Lithomelissa setosa
ASV_222,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,unassigned,unassigned
ASV_223,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Resomiidae,Resomia,Resomia ornicephala
ASV_224,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Scrippsiella,unassigned
ASV_225,Eukaryota,unknown,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Teleaulax,Teleaulax amphioxeia
ASV_226,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,unknown,Oithonidae sp. DZMB624
ASV_227,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_229,Eukaryota,unknown,Dinophyceae,Coccidiniales,Chytriodiniaceae,g_,s_
ASV_230,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Proboscia,s_
ASV_232,Eukaryota,unknown,Cryptophyceae,unassigned,unassigned,unassigned,unassigned
ASV_233,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_234,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Oncaeidae,Oncaea,s_
ASV_235,Eukaryota,Chlorophyta,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_237,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_238,Eukaryota,Euglenozoa,unknown,Diplonemea,unknown,unknown,s_
ASV_239,Eukaryota,unknown,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,unassigned
ASV_240,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Cryothecomonas,Cryothecomonas sp. APCC MC5-1Cryo
ASV_241,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros cinctus
ASV_242,Eukaryota,unknown,Polycystinea,unassigned,unassigned,unassigned,unassigned
ASV_243,Eukaryota,Bacillariophyta,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_244,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros didymus
ASV_245,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_246,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_248,Eukaryota,unknown,Polycystinea,Collodaria,Sphaerozoidae,unassigned,unassigned
ASV_250,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_251,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros tenuissimus
ASV_252,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_253,Eukaryota,Ciliophora,Spirotrichea,unassigned,unassigned,unassigned,unassigned
ASV_254,Eukaryota,unknown,Cryptophyceae,unassigned,unassigned,unassigned,unassigned
ASV_255,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis doliolus
ASV_256,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_258,Eukaryota,Ciliophora,Spirotrichea,Choreotrichida,Strombidinopsidae,g_,s_
ASV_259,Eukaryota,Euglenozoa,unknown,Diplonemea,unknown,unknown,Diplonemida sp. 1sb RG-2016
ASV_260,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,unassigned
ASV_261,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_262,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_263,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira concaviuscula
ASV_264,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_265,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_266,Eukaryota,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulaceae,Eucampia,unassigned
ASV_267,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Prayidae,Lilyopsis,unassigned
ASV_268,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,Strombidium,Strombidium caudispina
ASV_269,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,unassigned,unassigned
ASV_270,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii
ASV_271,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_272,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_273,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium leonis
ASV_274,Eukaryota,Ciliophora,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_275,Eukaryota,Ciliophora,Spirotrichea,Tintinnida,unassigned,unassigned,unassigned
ASV_276,Eukaryota,unknown,Choanoflagellata,Acanthoecida,Stephanoecidae,Calliacantha,Calliacantha natans
ASV_277,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,g_,s_
ASV_278,Eukaryota,Arthropoda,Hexanauplia,Calanoida,unassigned,unassigned,unassigned
ASV_280,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_282,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_283,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Kareniaceae,g_,s_
ASV_284,Eukaryota,unknown,Bigyra,Nanomonadea,unknown,Solenicola,s_
ASV_285,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_286,Eukaryota,Euglenozoa,unknown,Diplonemea,unassigned,unassigned,unassigned
ASV_287,Eukaryota,Euglenozoa,unknown,Diplonemea,unknown,unknown,s_
ASV_288,Eukaryota,Annelida,Polychaeta,Sabellida,Sabellariidae,unassigned,unassigned
ASV_289,Eukaryota,Euglenozoa,unknown,Diplonemea,unassigned,unassigned,unassigned
ASV_290,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_291,Eukaryota,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Chrysaora,Chrysaora fuscescens
ASV_292,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_293,Eukaryota,unknown,Cryptophyceae,unassigned,unassigned,unassigned,s_
ASV_294,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_295,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,unassigned,unassigned
ASV_296,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_297,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,unassigned
ASV_299,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_300,Eukaryota,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas parkeae
