sample_name,Analyzing_Institute,Collecting_Institute
GLOMICON_BloomMock_10,NOAA,BLOOMMOCK
GLOMICON_BloomMock_30,NOAA,BLOOMMOCK
GLOMICON_BloomMock_4,NOAA,BLOOMMOCK
GLOMICON_BloomMock_6,NOAA,BLOOMMOCK
GLOMICON_EvenMock_1,NOAA,EVENMOCK
GLOMICON_EvenMock_4,NOAA,EVENMOCK
GLOMICON_EvenMock_5,NOAA,EVENMOCK
GLOMICON_EvenMock_A,NOAA,EVENMOCK
GLOMICON_EvenMock_B,NOAA,EVENMOCK
GLOMICON_NOC_10,NOAA,NOC
GLOMICON_NOC_16,NOAA,NOC
GLOMICON_NOC_22,NOAA,NOC
GLOMICON_NOC_3,NOAA,NOC
GLOMICON_NOC_32,NOAA,NOC
GLOMICON_Roscoff_11,NOAA,SBR
GLOMICON_Roscoff_15,NOAA,SBR
GLOMICON_Roscoff_19,NOAA,SBR
GLOMICON_Roscoff_3,NOAA,SBR
GLOMICON_Roscoff_7,NOAA,SBR
