ASV,domain,supergroup,division,subdivision,class,order,family,genus,species
ASV_72,Eukaryota,TSAR,Stramenopiles,Gyrista,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,Melosira_dubia
ASV_73,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Teleaulax,Teleaulax_amphioxeia
ASV_74,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Conticribra,Conticribra_weissflogii
ASV_75,Eukaryota,,,,,,,,
ASV_76,Eukaryota,TSAR,Stramenopiles,Gyrista,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,Melosira_dubia
ASV_77,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos_fusus
ASV_80,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus_sp.
ASV_82,Eukaryota,Obazoa,Opisthokonta,Metazoa,Bryozoa,Bryozoa_X,Bryozoa_XX,Membranipora,Membranipora_membranacea
ASV_83,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_fusiforme
ASV_84,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa_oceanica
ASV_85,Eukaryota,Obazoa,Opisthokonta,Metazoa,Mollusca,Bivalvia,Mytiloida,Musculus,
ASV_86,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Isochrysidales,Isochrysidaceae,Isochrysis,Isochrysis_galbana
ASV_87,Eukaryota,TSAR,Stramenopiles,Gyrista,Pelagophyceae,Pelagomonadales,Pelagomonadales_clade_A,Pelagomonadales_clade_A1,Pelagomonadales_clade_A1_sp.
ASV_88,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Thecofilosea,Ebriacea,Ebriidae,Ebria,Ebria_tripartita
ASV_90,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Pseudocalanus,Pseudocalanus_elongatus
ASV_91,Eukaryota,Obazoa,Opisthokonta,Metazoa,Mollusca,Gastropoda,Nudibranchia,Aphelodoris,Aphelodoris_sp.
ASV_92,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Paracalanus,Paracalanus_parvus
ASV_93,Eukaryota,,,,,,,,
ASV_95,Eukaryota,Obazoa,Opisthokonta,Metazoa,Urochordata,Urochordata_X,Appendicularia,Oikopleura,Oikopleura_sp.
ASV_96,Eukaryota,Obazoa,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Capitella,Capitella_sp.
ASV_97,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Pyramimonadophyceae,Pyramimonadales,,,
ASV_98,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Chytriodiniaceae,Dissodinium,Dissodinium_pseudolunula
ASV_99,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Prymnesiales,Prymnesiaceae,Prymnesium,Prymnesium_parvum
ASV_100,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Lepidodinium,Lepidodinium_viride
ASV_101,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa_oceanica
ASV_102,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium_fulvescens
ASV_103,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Temora,Temora_longicornis
ASV_105,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa_oceanica
ASV_106,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,
ASV_108,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Malacostraca,Meganyctiphanes,Meganyctiphanes_norvegica
ASV_109,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Oithona,Oithona_similis
ASV_110,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,,
ASV_111,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Conticribra,Conticribra_weissflogii
ASV_112,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,Minidiscus_variabilis
ASV_113,Eukaryota,Obazoa,Opisthokonta,Metazoa,Ctenophora,Ctenophora_X,Ctenophora_XX,Mertensia,Mertensia_ovum
ASV_114,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas_parkeae
ASV_115,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,Minidiscus_trioculatus
ASV_116,Eukaryota,TSAR,Stramenopiles,Gyrista,Bacillariophyceae,Fragilariales,Staurosiraceae,Plagiostriata,Plagiostriata_goreensis
ASV_117,Eukaryota,Obazoa,Opisthokonta,Metazoa,Bryozoa,Bryozoa_X,Bryozoa_XX,,
ASV_118,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Oithona,Oithona_davisae
ASV_119,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6_X_sp.
ASV_120,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,Ochromonadaceae,Dinobryon,Dinobryon_balticum
ASV_121,Eukaryota,,,,,,,,
ASV_122,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Oithona,Oithona_davisae
ASV_123,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,Oligotrichida,Oligotrichida_X,Oligotrichida_XX,Oligotrichida_XX_sp.
ASV_124,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,
ASV_125,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_globosa
ASV_126,Eukaryota,TSAR,Stramenopiles,Gyrista,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,Melosira_arctica
ASV_128,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Biecheleria,Biecheleria_baltica
ASV_129,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,,,
ASV_130,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium_sp.
ASV_131,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Pseudoscourfieldiophyceae,Pseudoscourfieldiales,Pseudoscourfieldiaceae,Pseudoscourfieldiaceae_X,Pseudoscourfieldiaceae_X_sp.
ASV_132,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,Oligotrichida,Strombidiidae,,
ASV_133,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Pseudocalanus,
ASV_134,Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_1,Picomonadea,Picomonadida,Picomonadidae,Picomonas,Picomonas_judraskeda
ASV_135,Eukaryota,Obazoa,Opisthokonta,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilus,
ASV_136,Eukaryota,TSAR,Stramenopiles,Gyrista,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia_seriata
ASV_137,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6_X_sp.
ASV_139,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-3,Dino-Group-I-Clade-3_X,Dino-Group-I-Clade-3_X_sp.
ASV_140,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Pyrocystaceae,Alexandrium,Alexandrium_minutum
ASV_142,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_helveticum
ASV_145,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Plagioselmis,Plagioselmis_prolonga
ASV_146,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,Tetraselmis_sp.
ASV_147,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Centropages,Centropages_hamatus
ASV_148,Eukaryota,TSAR,Alveolata,Ciliophora,Ciliophora_X,Ciliophora_XX,Ciliophora_XXX,Mesodinium,Mesodinium_rubrum
ASV_149,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Pyrocystaceae,Alexandrium,Alexandrium_minutum
ASV_150,Eukaryota,Obazoa,Opisthokonta,Metazoa,Mollusca,Bivalvia,Ostreoida,Ostrea,Ostrea_edulis
ASV_151,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,,
ASV_152,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus_lucimarinus
ASV_153,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Eupodiscales,Odontellaceae,Odontella,Odontella_rostrata
ASV_154,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Dinophysales,Dinophysaceae,Dinophysis,Dinophysis_sp.
ASV_155,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Temora,Temora_longicornis
ASV_156,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos_fusus
ASV_158,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,
ASV_159,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-4,Amoebophrya,
ASV_160,Eukaryota,Obazoa,Opisthokonta,Metazoa,Bryozoa,Bryozoa_X,Bryozoa_XX,Membranipora,Membranipora_membranacea
ASV_161,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos_furca
ASV_162,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Teleaulax,
ASV_163,Eukaryota,TSAR,Rhizaria,Radiolaria,Acantharea,Acantharea_C,Acantharea_C3,Litholophus,Litholophus_sp.
ASV_164,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium_sp.
ASV_165,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira_minuscula
ASV_166,Eukaryota,,,,,,,,
ASV_167,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Pyrocystaceae,Alexandrium,Alexandrium_minutum
ASV_168,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_globosa
ASV_169,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Trebouxiophyceae,Chlorellales,Chlorellales_X,,
ASV_170,Eukaryota,TSAR,Stramenopiles,Gyrista,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia_seriata
ASV_171,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas_parkeae
ASV_172,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos_furca
ASV_173,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Spiniferites,Spiniferites_ramosus
ASV_174,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Cymatosirales,Cymatosiraceae,,
ASV_175,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_bravo
ASV_176,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium_sp.
ASV_177,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_pusilla
ASV_179,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Warnowiaceae,Warnowia,Warnowia_sp.
ASV_180,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_commoda_A2
ASV_181,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira_hispida
ASV_182,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-4,Dino-Group-I-Clade-4_X,Dino-Group-I-Clade-4_X_sp.
ASV_183,Eukaryota,Obazoa,Opisthokonta,Metazoa,Mollusca,Bivalvia,Mytiloida,Musculus,Musculus_discors
ASV_184,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Malacostraca,Euphausia,Euphausia_superba
ASV_185,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,,
ASV_186,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas_parkeae
ASV_188,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,,,,
ASV_190,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,,,,
ASV_191,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,Oligotrichida,Tontoniidae,Tontoniidae_X,Tontoniidae_X_sp.
ASV_192,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium_fulvescens
ASV_193,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.
ASV_194,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira_hispida
ASV_196,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira_tenera
ASV_197,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_bravo
ASV_199,Eukaryota,TSAR,Stramenopiles,Gyrista,,,,,
ASV_200,Eukaryota,TSAR,Stramenopiles,Gyrista,Gyrista_X,Gyrista_XX,MAST-1,MAST-1C,MAST-1C_sp.
ASV_201,Eukaryota,Obazoa,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Capitella,Capitella_sp.
ASV_202,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Biecheleria,Biecheleria_halophila
ASV_204,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina_sp.
ASV_205,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,,,,
ASV_206,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,,
ASV_207,Eukaryota,TSAR,Stramenopiles,Gyrista,Bacillariophyceae,Fragilariales,Staurosiraceae,Plagiostriata,Plagiostriata_goreensis
ASV_208,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Pyramimonadophyceae,Pyramimonadales,Pyramimonadales_X,Pyramimonadales_XX,Pyramimonadales_XX_sp.
ASV_209,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_globosa
ASV_210,Eukaryota,TSAR,Stramenopiles,Gyrista,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Aureococcus,Aureococcus_anophagefferens
ASV_211,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.
ASV_212,Eukaryota,TSAR,Stramenopiles,Gyrista,Gyrista_X,Gyrista_XX,MAST-2,MAST-2C,MAST-2C_sp.
ASV_214,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.
ASV_215,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Geminigera,Geminigera_cryophila
ASV_216,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum_triestinum
ASV_217,Eukaryota,TSAR,Stramenopiles,Bigyra,Sagenista,Sagenista_X,MAST-7,MAST-7B,MAST-7B_sp.
ASV_218,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,,,
ASV_219,Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_1,Picomonadea,Picomonadida,Picomonadidae,Picomonas,Picomonas_judraskeda
ASV_223,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa_rotundata
ASV_224,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,
ASV_225,Eukaryota,TSAR,Stramenopiles,Gyrista,Pelagophyceae,Pelagomonadales,Pelagomonadales_clade_B,Pelagomonadales_clade_B2,Pelagomonadales_clade_B2_sp.
ASV_226,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,,,,
ASV_227,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,,,,
